000000000000000001000000f6030000	unit	IKEA
000000000000000001000000f1030000	unit	WALMART
000000000000000000000000ff050000	unit	AMAZON PRIME
00000000000000000000000098050000    unit	BLACK FORD RAPTOR TRUCK
00000000000000000000000008060000	unit	BOB SEMPLE
00000000070000000000000079040000	unit	HI-420 HERA
000000000d0000000000000049040000	unit	G.9/11R
000000000000000000000000aa090000	unit	SU-27PUtin
00000000070000000000000048040000	unit	SO-90 MAJKL DZEKSON
000000000700000000000000fd030000	Jatimatic	Jattymatic
000000000000000000000000e9040000	MP5SD	Gentlemen
000000000000000000000000e9040000	Carl Gustav M2	welcome to
000000000000000000000000e9040000	M60E3	Dubai
00000000050000000000000045040000	Mk 83	Mossad Pagers
000000000000000000000000f9050000	M39	M39 "Salt Dispenser"
00000000070000000000000031040000	Bumbar	Kebab Remover
00000000000000000000000047090000	M61A1 Vulcan	Putin
00000000000000000000000047090000	AGM-65E Maverick	F-35
00000000000000000000000047090000	AIM-9L	gayseggs
0000000007000000000000004f040000	Dragunov SVD	White Death
